Date,Location,Customer Name,Items,Total,Payment Method,Card Number
25/08/2021 08:45,Chesterfield,Sarah Doyle,"Large Latte - 2.45, Croissant - 1.85",4.3,CASH,
25/08/2021 09:01,Chesterfield,Liam Armstrong,"Regular Flavoured iced latte - Vanilla - 2.75, Muffin - 1.50",4.25,CARD,4532123456789012
25/08/2021 09:03,Chesterfield,Maya Patel,"Espresso - 1.50, Regular Latte - 2.15",3.65,CASH,
25/08/2021 09:07,Chesterfield,George Bennett,"Regular Flavoured iced latte - Caramel - 2.75, Large Latte - 2.45",5.2,CARD,5111000000000011
25/08/2021 09:09,Chesterfield,Olivia Green,Large Latte - 2.45,2.45,CARD,4321432143214321
25/08/2021 09:10,Chesterfield,Daniel Hayes,"Regular Flavoured iced latte - Hazelnut - 2.75, Biscotti - 1.25",4,CASH,
25/08/2021 09:12,Chesterfield,Emma Carter,"Americano - 2.15, Croissant - 1.85",4,CARD,10292019201929898
25/08/2021 09:15,Chesterfield,Aiden Cook,"Regular Latte - 2.15, Cookie - 1.25",3.4,CASH,
25/08/2021 09:17,Chesterfield,Nora Sutton,Regular Flavoured iced latte - Hazelnut - 2.75,2.75,CARD,4000123412341234
25/08/2021 09:20,Chesterfield,Jason Gilbert,"Large Latte - 2.45, Brownie - 1.95",4.4,CARD,09838924738438295754
25/08/2021 09:23,Chesterfield,Ella Morton,"Regular Latte - 2.15, Biscotti - 1.25",3.4,CASH,
25/08/2021 09:25,Chesterfield,Henry Cole,"Regular Latte - 2.15, Large Latte - 2.45",4.6,CARD,4512345678901234
25/08/2021 09:30,Chesterfield,Naomi Clarke,"Regular Flavoured iced latte - Caramel - 2.75, Cookie - 1.25",4,CARD,389247834734782947
25/08/2021 09:32,Chesterfield,Owen Walsh,Americano - 2.15,2.15,CASH,
25/08/2021 09:35,Chesterfield,Lily Kerr,"Espresso - 1.50, Croissant - 1.85",3.35,CARD,5098765432101234
25/08/2021 10:11,Chesterfield,Donald Wilson,Regular Flavoured iced latte - Caramel - 2.75,2.75,CARD,9192463810678210
25/08/2021 10:15,Chesterfield,Ben Clarkson,Regular Flavoured iced latte - Hazelnut - 2.75 Large Latte - 2.45,5.2,CARD,90238435375457843678
25/08/2021 10:17,Chesterfield,Zara Williamson,Large Latte - 2.45 Cookie - 1.25,3.7,CARD,4532211122334455
25/08/2021 10:20,Chesterfield,Nathan Reid,Regular Latte,2.15,CASH,
25/08/2021 10:23,Chesterfield,Maddie Brooks,Espresso - 1.50 Regular Latte - 2.15,3.65,CARD,4000000000000000
25/08/2021 10:25,Chesterfield,Lucas Evans,"Regular Latte - 2.15, Large Latte - 2.45",4.6,CASH,
25/08/2021 10:27,Chesterfield,Ava Nixon,Regular Flavoured iced latte - Hazelnut - 2.75,2.75,CARD,5111332244556677
25/08/2021 10:29,Chesterfield,Noah Hughes,"Large Latte - 2.45, Cookie - 1.25",3.7,CARD,4532789102345678
25/08/2021 10:32,Chesterfield,Chloe Foster,"Regular Latte - 2.15, Croissant - 1.85",4,CASH,
25/08/2021 10:35,Chesterfield,Mason Webb,"Regular Flavoured iced latte - Hazelnut - 2.75, Brownie - 1.95",4.7,CARD,5112345678901234
25/08/2021 10:37,Chesterfield,Zoe Freeman,"Large Latte - 2.45, Regular Latte - 2.15",4.6,CASH,
25/08/2021 10:40,Chesterfield,Leo Morgan,"Americano - 2.15, Biscotti - 1.25",3.4,CARD,4012888888881881
25/08/2021 10:42,Chesterfield,Mila Jennings,"Espresso - 1.50, Cookie - 1.25",2.75,CARD,4539211234567890
